"Wiretap Table B-1. State Courts
Report of Court-Authorized Intercepts of Wire, Oral, or Electronic Communications Pursuant to 18 U.S.C. 2519
NEW YORK,SUFFOLK,2018-71128,COHEN,BARNES,NARCOTICS,WC,D,43167.0,16.0,0.0,16.0,INSTALLED AND USED,15.0,3.0,0,48,0,869134.0,950.0,15.0,0.0,0.0,0.0,0.0,12.0,,
NEW YORK,SUFFOLK,2018-71129,CONDON,FELICE,NARCOTICS,WC,D,43192.0,11.0,1.0,27.0,INSTALLED AND USED,25.0,36.0,40,905,0,85600.0,1600.0,8.0,0.0,0.0,0.0,0.0,8.0,,
NEW YORK,SUFFOLK,2018-71130,CONDON,FELICE,NARCOTICS,WC,D,43216.0,29.0,1.0,43.0,INSTALLED AND USED,39.0,0,157,0,0,132590.0,1550.0,8.0,0.0,0.0,0.0,0.0,8.0,,
NEW YORK,SUFFOLK,2018-71131,CONDON,FELICE,NARCOTICS,WC,D,43216.0,29.0,1.0,43.0,INSTALLED AND USED,39.0,0,61,0,0,134240.0,3200.0,8.0,0.0,0.0,0.0,0.0,8.0,,
NEW YORK,SUFFOLK,2018-71132,CONDON,FELICE,NARCOTICS,WC,D,43244.0,14.0,0.0,14.0,INSTALLED AND USED,11.0,2.0,9,22,0,37735.0,775.0,8.0,0.0,0.0,0.0,0.0,8.0,,
NEW YORK,SUFFOLK,2018-71133,CONDON,FELICE,NARCOTICS,WC,D,43231.0,27.0,0.0,27.0,INSTALLED AND USED,24.0,0,62,0,0,120438.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,,
NEW YORK,SUFFOLK,2018-71138,CONDON,SAROWITZ,OTHER,WC,D,43238.0,29.0,2.0,61.0,INSTALLED AND USED,61.0,0,523,0,0,0,0,44.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2018-71118
NEW YORK,SUFFOLK,2018-71139,BRASLOW,BURROWS,NARCOTICS,WC,D,43318.0,25.0,3.0,92.0,INSTALLED AND USED,88.0,0,0,0,0,1376139.0,18185.0,4.0,0.0,0.0,0.0,0.0,1.0,,
NEW YORK,SUFFOLK,2018-71140,BRASLOW,BURROWS,NARCOTICS,WC,D,43326.0,17.0,3.0,84.0,INSTALLED AND USED,81.0,3.0,0,212,0,1366449.0,8495.0,4.0,0.0,0.0,0.0,0.0,1.0,,
NEW YORK,SUFFOLK,2018-71141,BRASLOW,BURROWS,NARCOTICS,WC,D,43342.0,29.0,1.0,48.0,INSTALLED AND USED,48.0,0,0,0,0,1363899.0,5945.0,4.0,0.0,0.0,0.0,0.0,1.0,,
NEW YORK,SUFFOLK,2018-71142,BRASLOW,BURROWS,NARCOTICS,WC,D,43388.0,19.0,0.0,19.0,INSTALLED AND USED,18.0,24.0,0,438,0,1357954.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,,
NEW YORK,SUFFOLK,2018-71143,CONDON,SAROWITZ,OTHER,WC,D,43238.0,29.0,1.0,36.0,INSTALLED AND USED,31.0,0,523,0,0,0,0,44.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2018-71118
NEW YORK,SUFFOLK,2018-71144,CONDON,SAROWITZ,OTHER,WC,D,43238.0,29.0,2.0,61.0,INSTALLED AND USED,61.0,0,236,0,0,0,0,44.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2018-71118
NEW YORK,SUFFOLK,2018-71145,CONDON,SAROWITZ,OTHER,WC,D,43238.0,29.0,2.0,76.0,INSTALLED AND USED,76.0,0,318,0,262,0,0,44.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2018-71118
NEW YORK,SUFFOLK,2018-71146,CONDON,SAROWITZ,OTHER,WC,D,43266.0,29.0,1.0,58.0,INSTALLED AND USED,58.0,0,625,0,0,0,0,44.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2018-71118
NEW YORK,SUFFOLK,2018-71147,CAMACHO,GAASH,FIREARMS,WC,D,43210.0,28.0,0.0,28.0,INSTALLED AND USED,28.0,0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,6.0,,
NEW YORK,SUFFOLK,2018-71148,CAMACHO,GAASH,FIREARMS,WC,D,43210.0,28.0,0.0,28.0,INSTALLED AND USED,28.0,0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,6.0,,RELATED TO NO. 2018-71147
NEW YORK,SUFFOLK,2018-77231,AMBRO,NASH,NARCOTICS,WC,D,43287.0,29.0,1.0,39.0,INSTALLED AND USED,38.0,0,43,0,0,105560.0,4760.0,17.0,0.0,0.0,0.0,0.0,8.0,,
NEW YORK,SUFFOLK,2018-77232,AMBRO,NASH,NARCOTICS,WC,D,43287.0,29.0,1.0,39.0,INSTALLED AND USED,21.0,0,0,0,0,71765.0,5615.0,17.0,0.0,0.0,0.0,0.0,8.0,,
NEW YORK,SUFFOLK,2018-77233,AMBRO,NASH,NARCOTICS,WC,D,43297.0,22.0,1.0,32.0,INSTALLED AND USED,32.0,0,83,0,0,102930.0,2130.0,17.0,0.0,0.0,0.0,0.0,8.0,,
NEW YORK,SUFFOLK,2018-77234,AMBRO,NASH,NARCOTICS,WC,D,43307.0,12.0,1.0,22.0,INSTALLED AND USED,22.0,0,74,0,0,101655.0,855.0,17.0,0.0,0.0,0.0,0.0,8.0,,
NEW YORK,SULLIVAN,2018-71258,MCGUIRE,FARRELL,CONSPIRACY,"TX,WC",D,43173.0,30.0,2.0,90.0,INSTALLED AND USED,86.0,0,169,0,0,0,0,20.0,0.0,0.0,0.0,3.0,10.0,,
NEW YORK,SULLIVAN,2018-71259,MCGUIRE,FARRELL,CONSPIRACY,"TX,WC",D,43203.0,30.0,1.0,60.0,INSTALLED AND USED,56.0,0,177,0,0,0,0,9.0,0.0,0.0,0.0,1.0,6.0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69066,LEVENTHAL,SINGAS,NARCOTICS,"TX,WC",D,43061.0,30.0,1.0,60.0,INSTALLED AND USED,29.0,0,0,0,828,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69077,IANNACCI,SINGAS,NARCOTICS,"TX,WC",D,43000.0,30.0,0.0,30.0,INSTALLED AND USED,17.0,0,0,0,472,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69078,HINDS-RADIX,SINGAS,NARCOTICS,"TX,WC",D,42922.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,32.0,0,485,171,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69098,MALTESE,SINGAS,NARCOTICS,"TX,WC",D,42971.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69123,MASTRO,SINGAS,NARCOTICS,"TX,WC",D,43012.0,30.0,0.0,30.0,INSTALLED AND USED,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69126,HINDS-RADIX,SINGAS,NARCOTICS,"TX,WC",D,42922.0,30.0,0.0,30.0,INSTALLED AND USED,22.0,0,0,0,633,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69129,MASTRO,SINGAS,NARCOTICS,"TX,WC",D,43028.0,30.0,0.0,30.0,INSTALLED AND USED,7.0,53.0,0,373,90,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69153,CHRISTOPHER,SINGAS,GAMBLING,"TX,WC",D,42950.0,30.0,3.0,120.0,INSTALLED AND USED,114.0,0,54,0,785,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69203,BARROS,SINGAS,NARCOTICS,"TX,WC",D,42964.0,30.0,0.0,30.0,INSTALLED AND USED,25.0,11.0,0,263,88,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69332,IANNACCI,SINGAS,NARCOTICS,"TX,WC",D,43000.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,16.0,0,210,76,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69480,IANNACCI,SINGAS,NARCOTICS,"TX,WC",D,43000.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,40.0,0,526,115,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69489,MASTRO,SINGAS,NARCOTICS,"TX,WC",D,43012.0,30.0,0.0,30.0,INSTALLED AND USED,8.0,7.0,0,55,12,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69501,CONNOLLY,SINGAS,NARCOTICS,"TX,WC",D,42986.0,30.0,1.0,60.0,INSTALLED AND USED,27.0,36.0,0,965,373,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69521,HINDS-RADIX,SINGAS,NARCOTICS,"TX,WC",D,42922.0,30.0,0.0,30.0,INSTALLED AND USED,22.0,6.0,0,132,40,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69606,MASTRO,SINGAS,NARCOTICS,"TX,WC",D,43012.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,31.0,0,897,319,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69611,LEVENTHAL,SINGAS,NARCOTICS,"TX,WC",D,43061.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69700,IANNACCI,SINGAS,NARCOTICS,"TX,WC",D,43000.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0,0,0,403,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69701,HALL,SINGAS,NARCOTICS,"TX,WC",D,42900.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0,0,0,485,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69714,ROMAN,SINGAS,NARCOTICS,"TX,WC",D,42880.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0,0,0,553,0,0,20.0,0.0,0.0,0.0,0.0,12.0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69778,LEVENTHAL,SINGAS,NARCOTICS,"TX,WC",D,43061.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,24.0,0,703,277,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69803,MASTRO,SINGAS,NARCOTICS,"TX,WC",D,43012.0,30.0,1.0,60.0,INSTALLED AND USED,28.0,0,0,0,348,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69809,"COHEN, JR.",SINGAS,GAMBLING,"TX,WC",D,43012.0,30.0,1.0,60.0,INSTALLED AND USED,26.0,0,30,0,416,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69811,MALTESE,SINGAS,GAMBLING,"TX,WC",D,42970.0,15.0,2.0,75.0,INSTALLED AND USED,69.0,0,81,0,170,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69848,LEVENTHAL,SINGAS,NARCOTICS,"TX,WC",D,43061.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0,0,0,755,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69921,CONNOLLY,SINGAS,NARCOTICS,"TX,WC",D,42986.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,56.0,0,726,241,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69938,IANNACCI,SINGAS,NARCOTICS,"TX,WC",D,42943.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,2.0,0,69,31,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69939,"COHEN, JR.",SINGAS,NARCOTICS,"TX,WC",D,42949.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,13.0,0,371,136,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69940,"COHEN, JR.",SINGAS,NARCOTICS,"TX,WC",D,42949.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,11.0,0,322,33,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69941,"COHEN, JR.",SINGAS,NARCOTICS,"TX,WC",D,42949.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,10.0,0,301,26,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69942,"COHEN, JR.",SINGAS,NARCOTICS,"TX,WC",D,42949.0,30.0,0.0,30.0,INSTALLED AND USED,5.0,29.0,0,144,30,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69943,BARROS,SINGAS,NARCOTICS,"TX,WC",D,42961.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,35.0,0,991,355,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69944,BARROS,SINGAS,NARCOTICS,"TX,WC",D,42961.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,0,0,0,633,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69945,BARROS,SINGAS,NARCOTICS,"TX,WC",D,42961.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,0,0,0,537,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69946,BARROS,SINGAS,NARCOTICS,"TX,WC",D,42964.0,30.0,0.0,30.0,INSTALLED AND USED,25.0,36.0,0,901,238,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-69998,CHRISTOPHER,SINGAS,GAMBLING,"TX,WC",D,42950.0,30.0,3.0,120.0,INSTALLED AND USED,114.0,0,164,0,777,1467273.0,45608.0,0,0,0.0,0.0,0.0,0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70005,LEVENTHAL,SINGAS,NARCOTICS,"TX,WC",D,43061.0,30.0,1.0,60.0,INSTALLED AND USED,29.0,0,0,0,411,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70010,MASTRO,SINGAS,NARCOTICS,"TX,WC",D,43012.0,30.0,0.0,30.0,INSTALLED AND USED,23.0,23.0,0,535,171,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70030,CHRISTOPHER,SINGAS,NARCOTICS,"TX,WC",D,42909.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,20.0,0,548,148,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70067,BRATHWAITE NELSON,SINGAS,NARCOTICS,"TX,WC",D,42935.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0,0,0,369,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70068,BARROS,SINGAS,NARCOTICS,"TX,WC",D,42964.0,30.0,0.0,30.0,INSTALLED AND USED,25.0,0,0,0,469,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70069,BRATHWAITE NELSON,SINGAS,NARCOTICS,"TX,WC",D,42935.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0,0,0,766,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70070,BRATHWAITE NELSON,SINGAS,NARCOTICS,"TX,WC",D,42935.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0,0,0,450,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70071,BRATHWAITE NELSON,SINGAS,NARCOTICS,"TX,WC",D,42935.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0,0,0,255,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70072,BRATHWAITE NELSON,SINGAS,NARCOTICS,"TX,WC",D,42936.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,19.0,0,551,173,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70076,LASALLE,SINGAS,NARCOTICS,"TX,WC",D,42916.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,25.0,0,699,440,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70130,IANNACCI,SINGAS,NARCOTICS,"TX,WC",D,43000.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,25.0,0,319,123,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70146,IANNACCI,SINGAS,NARCOTICS,"TX,WC",D,43000.0,30.0,0.0,30.0,INSTALLED AND USED,17.0,38.0,0,653,253,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70163,MASTRO,SINGAS,NARCOTICS,"TX,WC",D,43012.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,14.0,0,417,155,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70216,MASTRO,SINGAS,NARCOTICS,"TX,WC",D,43012.0,30.0,2.0,90.0,INSTALLED AND USED,28.0,0,0,0,828,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70305,CONNOLLY,SINGAS,NARCOTICS,"TX,WC",D,42986.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,26.0,0,689,201,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70328,CONNOLLY,SINGAS,NARCOTICS,"TX,WC",D,42986.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,49.0,0,633,633,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70372,MASTRO,SINGAS,NARCOTICS,"TX,WC",D,43012.0,30.0,0.0,30.0,INSTALLED AND USED,23.0,0,0,0,316,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70400,CONNOLLY,SINGAS,NARCOTICS,"TX,WC",D,42986.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,0,0,0,485,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70420,CONNOLLY,SINGAS,NARCOTICS,"TX,WC",D,42986.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,0,0,0,724,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70514,HINDS-RADIX,SINGAS,NARCOTICS,"TX,WC",D,42922.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,13.0,0,377,66,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70647,LEVENTHAL,SINGAS,NARCOTICS,"TX,WC",D,43061.0,30.0,1.0,60.0,INSTALLED AND USED,29.0,0,0,0,167,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70800,MASTRO,SINGAS,NARCOTICS,"TX,WC",D,43012.0,30.0,0.0,30.0,INSTALLED AND USED,8.0,1.0,0,7,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2017-70816,CHRISTOPHER,SINGAS,NARCOTICS,"TX,WC",D,42909.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,1.0,0,20,1,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69079,"COHEN, JR.",SINGAS,NARCOTICS,"TX,WC",D,43237.0,30.0,5.0,180.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69082,BALKIN,SINGAS,NARCOTICS,"TX,WC",D,43403.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0,0,0,0,286680.0,2680.0,6.0,0.0,0.0,0.0,0.0,0.0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69101,"COHEN, JR.",SINGAS,NARCOTICS,"TX,WC",D,43012.0,30.0,13.0,420.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69102,"COHEN, JR.",SINGAS,GAMBLING,"TX,WC",D,43012.0,30.0,13.0,420.0,INSTALLED AND USED,378.0,1.0,14,333,92,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69113,MASTRO,SINGAS,NARCOTICS,"TX,WC",D,43089.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,5.0,0,135,50,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69124,MASTRO,SINGAS,NARCOTICS,"TX,WC",D,43089.0,30.0,0.0,30.0,INSTALLED AND USED,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69188,CHRISTOPHER,SINGAS,GAMBLING,"TX,WC",D,43069.0,30.0,11.0,360.0,INSTALLED AND USED,330.0,0,247,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69294,ROMAN,SINGAS,GAMBLING,"TX,WC",D,43377.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,17.0,59,470,61,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69318,DILLION,SINGAS,GAMBLING,EO,A,43250.0,16.0,2.0,76.0,INSTALLED BUT NOT USED,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69468,CONNOLLY,SINGAS,NARCOTICS,"TX,WC",D,43328.0,21.0,3.0,111.0,INSTALLED AND USED,31.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2018-69082
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69491,LEVENTHAL,SINGAS,NARCOTICS,"TX,WC",D,43061.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,8,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69507,CHRISTOPHER,SINGAS,NARCOTICS,"TX,WC",D,43069.0,30.0,11.0,360.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69603,MASTRO,SINGAS,NARCOTICS,"TX,WC",D,43089.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,1.0,0,23,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-69714
NEW YORK,SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,2018-69733,IANNACCI,SINGAS,GAMBLING,"TX,WC",D,43293.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,21.0,47,573,18,0,0,0,0,0.0,0.0,0.0,0,,
